idviv,fecharecol,lat,lon,estadoviv,eval+ID,eval+PD,eval+IDPD,numidad,numidn,numpda,numpdn,presidad,presidn,prespda,prespdn,otraespecie,idotra,pdotra,menores0a4,menores5a14,totalhabit,techocol,paredcol,numperro,numgato,numgallinas,numcabras,gallinerosize,corralsize,otroanimal,cantotro,numinsectos,idnegativo,idpositivo,pdnegativo,pdpositivo
1011206357,14/5/2018,-2844254287,-657106153,Evaluada y Rociada/tratada,,,,0,0,0,0,,,,,,,,1,2,7,No,No,0,0,0,0,,,,,,,,,
1011205820,27/4/2018,-2844107771,-6570498191,Evaluada,,,,0,0,0,0,,,,,,,,0,1,3,Si,Si,2,0,10,0,Mediano,,Otros animales,1,,,,,
1011205901,27/4/2018,-2844131517,-6570505961,Evaluada y Rociada/tratada,,1,,,,,,No,No,Si,Si,,,,1,2,6,Si,Si,4,2,20,0,Grande,,Otros animales,15,5,0,0,5,0
1011205772,27/4/2018,-2843729303,-6570312599,Evaluada y Rociada/tratada,,1,,,,,,No,No,No,Si,,,,0,0,2,Si,Si,2,10,9,0,Grande,,,,1,0,0,1,0
1011206325,27/4/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,1,5,Si,Si,4,0,0,0,,,,,,,,,
1011206324,27/4/2018,,,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206323,27/4/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,1,3,No,No,2,0,0,0,,,,,,,,,
1011206079,23/4/2018,-2845093483,-6570325415,Evaluada,,1,,0,0,22,22,,,,,,,,0,0,2,Si,No,2,4,10,1,Mediano,Mediano,porcinos,3,41,0,0,41,0
1011206181,23/4/2018,-2845153045,-6570212301,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,1,0,0,0,,,,,,,,,
1011206184,23/4/2018,-2845438876,-6569943124,Evaluada,,1,,0,0,3,0,,,,,,,,0,0,1,No,No,2,0,8,0,,,Otros animales,8,3,0,0,3,0
1011206183,23/4/2018,-2845318755,-6570163761,Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,No,No,2,1,0,0,,,,,,,,,
1011206182,23/4/2018,-2845266175,-6570284368,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,Si,Si,18,0,0,0,,,Otros animales,2,,,,,
1011206080,23/4/2018,-284509816,-6570232971,Evaluada,,1,,0,0,2,4,,,,,,,,0,3,7,Si,No,4,0,0,0,,Grande,porcinos,10,9,0,0,9,0
1011205745,15/5/2018,-2845144805,-6569202826,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,0,3,6,No,No,2,2,18,0,Chico,,,,,,,,
1011205744,15/5/2018,-2845110054,-6569156642,Evaluada y Rociada/tratada,1,,,,,,,Si,Si,No,No,,,,1,3,6,No,No,6,0,0,0,,,Otros animales,2,15,15,0,0,0
1011206376,15/5/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,1,3,4,No,No,2,0,0,0,,,,,,,,,
1011206375,15/5/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,1,1,4,No,No,2,0,0,0,,,,,,,,,
1011205880,14/5/2018,,,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,0,2,4,No,No,1,1,7,0,,,,,,,,,
1011206147,20/4/2018,-2844789798,-6571208901,Evaluada,,,,0,0,0,0,,,,,,,,0,1,7,No,No,8,10,10,0,Chico,,,,,,,,
1011206142,20/4/2018,-2844853501,-6570612604,Evaluada,,,,0,0,0,0,,,,,,,,0,10,10,No,No,2,0,40,0,Mediano,,,,,,,,
1011206141,20/4/2018,-2844732299,-6570583301,Evaluada,,,,0,0,0,0,,,,,,,,0,1,6,Si,Si,3,0,0,0,,,,,,,,,
1011206144,20/4/2018,-2844930396,-6570772799,Evaluada,,,,0,0,0,0,,,,,,,,0,4,5,No,No,2,5,0,0,,,,,,,,,
1011206143,20/4/2018,-2844919299,-6570604599,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,Si,Si,4,1,0,0,,,,,,,,,
1011206145,20/4/2018,-2844848497,-65713555,Evaluada,,,,0,0,0,0,,,,,,,,0,0,5,Si,Si,2,1,0,0,,,,,,,,,
1011206146,20/4/2018,-2844830601,-6571268404,Evaluada,,1,,0,0,1,0,,,,,,,,1,0,6,No,No,2,1,30,0,Mediano,,,,,,,,
1011206149,20/4/2018,-2844788499,-6571044398,Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,Si,Si,1,3,5,0,Chico,,aves de corral,2,,,,,
1011206148,20/4/2018,-2844766698,-65711469,Evaluada,,,,0,0,0,0,,,,,,,,0,0,4,Si,Si,4,16,0,0,,,,,,,,,
1011206385,27/4/2018,-28455019,-6569446597,Evaluada y Rociada/tratada,,1,,0,0,1,8,,,,,,,,0,3,5,No,No,3,0,0,0,,,,,8,0,0,8,0
1011206384,27/4/2018,-2845447803,-65697433,Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,No,No,3,0,0,0,,,Otros animales,3,,,,,
1011206383,27/4/2018,-2845403496,-6569711599,Evaluada,,,,0,0,0,0,,,,,,,,0,1,2,Si,No,0,0,0,0,,,,,,,,,
1011205593,27/4/2018,-2845418097,-6569729403,Evaluada y Rociada/tratada,,1,,,,,,No,No,Si,No,,,,1,3,7,Si,No,6,2,0,0,,,Otros animales,15,1,0,0,1,0
1011205778,27/4/2018,-2844358801,-6570899097,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,1,3,11,No,No,6,1,7,0,,,,,,,,,
1011205779,27/4/2018,-2844325701,-6570920999,Evaluada y Rociada/tratada,,1,,,,,,No,No,Si,Si,,,,0,0,2,No,No,4,10,3,0,Chico,,,,9,0,0,9,0
1011206161,27/4/2018,-2845921867,-657040485,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,3,1,9,No,No,2,1,2,0,Chico,,,,,,,,
1011206345,27/4/2018,-2845909998,-6570413332,Evaluada,,,,0,0,0,0,,,,,,,,1,0,4,No,No,0,0,0,0,,,,,,,,,
1011206348,27/4/2018,-2845855733,-6570381825,Evaluada y Rociada/tratada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,5,0,0,0,,,,,,,,,
1011206346,27/4/2018,-2845900652,-6570397415,Evaluada,,,,0,0,0,0,,,,,,,,0,2,3,No,No,4,0,0,0,,,,,,,,,
1011206347,27/4/2018,-2845847175,-6570383082,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,3,1,0,0,,,,,,,,,
1011206313,27/4/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,1,0,3,No,No,1,1,0,0,,,,,,,,,
1011205712,27/4/2018,-2845210997,-6568644198,Evaluada y Rociada/tratada,,1,,,,,,No,No,Si,Si,,,,0,2,4,No,No,4,0,0,0,,,,,14,0,0,14,0
1011205522,26/4/2018,-2845846295,-6569796022,Evaluada y Rociada/tratada,,1,,,,,,No,No,Si,Si,,,,0,0,2,Si,Si,10,10,20,0,,,porcinos,8,21,0,0,18,3
1011206230,27/4/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,No,No,2,1,0,0,,,,,,,,,
1011206227,26/4/2018,,,Evaluada y Rociada/tratada,,1,,,,,,No,No,Si,Si,,,,0,1,2,No,No,4,0,0,0,,,,,8,0,0,7,1
1011206229,27/4/2018,,,Evaluada y Rociada/tratada,,1,,0,0,1,1,,,,,,,,2,2,6,No,No,1,0,0,0,,,,,,,,,
1011206228,27/4/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,0,0,0,0,,,,,,,,,
1011206165,26/4/2018,-2845734112,-6570416375,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,0,0,1,No,No,3,1,0,0,,,porcinos,2,,,,,
