"","idviv","posiTi","where","latitud","longitud","otraespecie","menores0a4","menores5a14","totalhabit","numperro","numgato","numgallinas","numcabras","otroanimal","cantotro","where.Tg","techo","pared"
"1007",1011205767,0,NA,"-28.43567801","-65.70394096",NA,1,0,5,3,3,0,0,NA,NA,NA,0,0
"1008",1011206346,0,NA,"-28.45900652","-65.70397415",NA,0,2,3,4,0,0,0,NA,NA,NA,0,0
"1009",1011208252,0,NA,"-28.43880999","-65.70398496",NA,0,2,4,3,0,0,0,NA,NA,NA,0,0
"1010",1011208726,0,NA,"-28.44177702","-65.70401799",NA,1,0,3,1,0,0,0,NA,NA,NA,1,1
"1011",1011205736,0,NA,"-28.44305148","-65.70401891",NA,0,0,2,0,0,0,0,NA,NA,NA,0,0
"1012",1011206162,0,NA,"-28.45890041","-65.70402453",NA,2,0,4,0,0,10,0,"equinos",4,NA,0,0
"1013",1011205769,0,NA,"-28.43725196","-65.70404297",NA,0,0,5,5,0,0,0,"Otros animales",1,NA,0,0
"1014",1011208776,0,NA,"-28.44333957","-65.70405093",NA,0,0,4,5,0,0,0,NA,NA,NA,0,0
"1015",1011208823,0,NA,"-28.44296297","-65.70407901",NA,0,4,6,4,0,0,0,NA,NA,NA,0,0
"1016",1011205768,1,"domi","-28.43663799","-65.70407901",NA,0,1,4,1,1,0,0,"Otros animales",10,NA,1,0
"1017",1011208705,0,NA,"-28.44519909","-65.70410793",NA,0,1,3,2,0,0,0,"Otros animales",1,NA,0,0
"1018",1011208821,0,NA,"-28.44267304","-65.70412503",NA,1,0,3,1,1,0,0,NA,NA,NA,0,0
"1019",1011206345,0,NA,"-28.45909998","-65.70413332",NA,1,0,4,0,0,0,0,NA,NA,NA,0,0
"1020",1011208727,0,NA,"-28.44177903","-65.70413399",NA,1,0,3,2,1,0,0,"Otros animales",50,NA,0,0
"1021",1011208761,0,NA,"-28.44191004","-65.70413802",NA,0,0,2,2,0,0,0,NA,NA,NA,1,1
"1022",1011208336,0,NA,"-28.44785096","-65.70415403",NA,1,2,5,1,0,0,0,NA,NA,NA,0,0
"1023",1011208335,0,NA,"-28.448376","-65.70416199",NA,0,0,1,0,1,0,0,NA,NA,NA,0,0
"1024",1011206165,0,NA,"-28.45734112","-65.70416375",NA,0,0,1,3,1,0,0,"porcinos",2,NA,0,0
"1025",1011206165,1,"peri","-28.45734112","-65.70416375",NA,0,0,3,3,1,0,0,"porcinos",2,NA,0,0
