idviv,fecharecol,lat,Columna1,LAT2,lon,Columna3,LON4,estadoviv,eval+ID,eval+PD,eval+IDPD,numidad,numidn,numpda,numpdn,presidad,presidn,prespda,prespdn,otraespecie,idotra,pdotra,menores0a4,menores5a14,totalhabit,techocol,paredcol,numperro,numgato,numgallinas,numcabras,gallinerosize,corralsize,otroanimal,cantotro,numinsectos,idnegativo,idpositivo,pdnegativo,pdpositivo
1011206708,4/9/2018,-28,456472,"-28,004565",-65,69702497,"-65,69702497",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205330,11/4/2018,-28,45527397,"-28,455274",-65,69703603,"-65,69703603",Evaluada,,,,0,0,0,0,,,,,,,,0,1,7,No,No,2,0,0,0,,,,,,,,,
1011206614,3/9/2018,-28,45730701,"-28,457307",-65,69703704,"-65,69703704",Evaluada,,,,0,0,0,0,,,,,,,,0,2,6,No,No,1,1,0,0,,,,,,,,,
1011206576,3/9/2018,-28,45782601,"-28,457826",-65,69706403,"-65,69706403",Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,No,No,0,1,0,0,,,,,,,,,
1011206838,11/9/2018,-28,45259302,"-28,452593",-65,69706503,"-65,69706503",Evaluada,,,,0,0,0,0,,,,,,,,1,0,5,No,No,5,0,0,0,,,,,,,,,
1011206588,3/9/2018,-28,45828501,"-28,458285",-65,69709001,"-65,69709001",Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,No,No,4,0,0,0,,,,,,,,,
1011206575,3/9/2018,-28,45775703,"-28,457757",-65,69709303,"-65,69709303",Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,1,0,0,0,,,,,,,,,
1011206701,4/9/2018,-28,45646001,"-28,456460",-65,69709303,"-65,69709303",Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,No,No,2,0,0,0,,,,,,,,,
1011205463,10/4/2018,-28,45901297,"-28,459013",-65,69709596,"-65,69709596",Evaluada,,,,0,0,0,0,,,,,,,,0,1,5,No,No,1,1,,,,,Otros animales,3,,,,,
1011206552,31/8/2018,-28,46042398,"-28,460424",-65,69709999,"-65,69709999",Evaluada,,,,0,0,0,0,,,,,,,,1,0,3,No,No,2,0,0,0,,,,,,,,,
1011206847,12/9/2018,-28,44955701,"-28,449557",-65,69710099,"-65,69710099",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205379,10/4/2018,-28,45974899,"-28,459749",-65,69710803,"-65,69710803",Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,Si,2,0,0,0,,,Otros animales,1,,,,,
1011206383,27/4/2018,-28,45403496,"-28,454035",-65,69711599,"-65,69711599",Evaluada,,,,0,0,0,0,,,,,,,,0,1,2,Si,No,0,0,0,0,,,,,,,,,
1011205622,11/4/2018,-28,46013062,"-28,460131",-65,69712639,"-65,69712639",Evaluada,,,,0,0,0,0,,,,,,,,1,2,6,No,No,3,12,0,0,,,Otros animales,2,,,,,
1011205547,11/4/2018,-28,46132789,"-28,461328",-65,69713192,"-65,69713192",Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,Si,Si,0,0,0,0,,,,,,,,,
1011206625,4/9/2018,-28,45765301,"-28,457653",-65,69715103,"-65,69715103",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206912,17/9/2018,-28,44937496,"-28,449375",-65,69715397,"-65,69715397",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205567,11/4/2018,-28,45643671,"-28,456437",-65,69715422,"-65,69715422",Evaluada,,,,0,0,0,0,,,,,,,,0,2,6,No,No,3,1,0,0,,,Otros animales,6,,,,,
1011206519,31/8/2018,-28,46128799,"-28,461288",-65,69715598,"-65,69715598",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206839,11/9/2018,-28,45255799,"-28,452558",-65,69715799,"-65,69715799",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205592,11/4/2018,-28,45448004,"-28,454480",-65,69715799,"-65,69715799",Evaluada,,,,0,0,0,0,,,,,,,,0,3,5,No,No,1,1,0,0,,,,,,,,,
1011206846,12/9/2018,-28,44949197,"-28,449492",-65,69716402,"-65,69716402",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205460,10/4/2018,-28,45949301,"-28,459493",-65,69718498,"-65,69718498",Evaluada,,,,0,0,0,0,,,,,,,,0,1,4,No,No,1,,,,,,,,,,,,
1011205375,10/4/2018,-28,45999097,"-28,459991",-65,69718598,"-65,69718598",Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,Si,Si,2,0,0,0,,,,,,,,,
1011206506,29/8/2018,-28,46181496,"-28,461815",-65,69719001,"-65,69719001",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206318,28/8/2018,-28,46327299,"-28,463273",-65,69719101,"-65,69719101",Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,No,No,3,0,0,0,,,,,,,,,
1011206589,3/9/2018,-28,45824896,"-28,458249",-65,69719302,"-65,69719302",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206531,29/8/2018,-28,46138304,"-28,461383",-65,69719596,"-65,69719596",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206518,31/8/2018,-28,46126201,"-28,461262",-65,69719696,"-65,69719696",Evaluada,,,,0,0,0,0,,,,,,,,0,1,2,No,No,2,0,0,0,,,,,,,,,
1011206590,3/9/2018,-28,45823396,"-28,458234",-65,69722496,"-65,69722496",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205580,11/4/2018,-28,45335402,"-28,453354",-65,69724097,"-65,69724097",Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,Si,1,0,0,0,,,,,,,,,
1011206893,12/9/2018,-28,45008398,"-28,450084",-65,69724298,"-65,69724298",Evaluada,,,,0,0,0,0,,,,,,,,0,0,4,No,No,2,1,0,0,,,,,,,,,
1011206532,29/8/2018,-28,46132596,"-28,461326",-65,69724902,"-65,69724902",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206626,4/9/2018,-28,45636404,"-28,456364",-65,69725002,"-65,69725002",Evaluada,,,,0,0,0,0,,,,,,,,3,0,6,No,No,2,1,0,0,,,,,,,,,
1011206629,4/9/2018,-28,45697097,"-28,456971",-65,69725698,"-65,69725698",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205550,11/4/2018,-28,4619137,"-28,046191",-65,69726528,"-65,69726528",Evaluada,,,,0,0,0,0,,,,,,,,0,1,4,Si,Si,2,0,0,0,,,,,,,,,
1011206798,10/9/2018,-28,45468196,"-28,454682",-65,69726704,"-65,69726704",Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,No,No,1,0,0,0,,,,,,,,,
1011206597,3/9/2018,-28,45891499,"-28,458915",-65,69726796,"-65,69726796",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206702,4/9/2018,-28,45638701,"-28,456387",-65,69726896,"-65,69726896",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
